id,url,itunes_id,original_url,newest_item_pubdate,oldest_item_pubdate,language
64,"https://anchor.fm/s/2118ce48/podcast/rss","1000276614","https://anchor.fm/s/2118ce48/podcast/rss",1600351200,1433032020,"ro"
65,"https://itunesu.itunes.apple.com/feed/id1000278930","1000278930","https://itunesu.itunes.apple.com/feed/id1000278930",1433034060,1433033160,"EN"
66,"https://itunesu.itunes.apple.com/feed/id1000282323","1000282323","https://itunesu.itunes.apple.com/feed/id1000282323",1433035200,1433034360,"EN"
67,"http://feeds.soundcloud.com/users/soundcloud:users:15937/sounds.rss","1000284113","http://feeds.soundcloud.com/users/soundcloud:users:15937/sounds.rss",1395514698,1395514698,"en"
68,"https://crmaudio.libsyn.com/crm","1000291435","https://crmaudio.libsyn.com/crm",1606396156,1526639887,"en"
69,"http://harbourcitystories.com/?feed=podcast","1000292546","http://harbourcitystories.com/?feed=podcast",0,0,""
70,"https://rss.whooshkaa.com/rss/podcast/id/7252","1000296496","https://rss.whooshkaa.com/rss/podcast/id/7252",1610915880,1546809900,"en-us"
71,"http://occasionallythinking.org/podcast/feed.xml","1000298715","http://occasionallythinking.org/podcast/feed.xml",1535131976,1433030756,"en"
72,"http://feeds.soundcloud.com/users/soundcloud:users:155730467/sounds.rss","1000303885","http://feeds.soundcloud.com/users/soundcloud:users:155730467/sounds.rss",1467949553,1433039683,"en"
73,"https://www.bennytime.com/feed/podcast/","1000310019","https://www.bennytime.com/feed/podcast/",1607659024,1432281644,"en-AU"
74,"https://starbug42.podbean.com/feed.xml","1000312879","https://starbug42.podbean.com/feed.xml",1610214690,1523538129,"en"
75,"http://feeds.feedburner.com/TristanGreth-Sermons","1000315341","http://feeds.feedburner.com/TristanGreth-Sermons",1421514000,1408820400,"en"
76,"http://feeds.soundcloud.com/users/soundcloud:users:151393324/sounds.rss","1000319011","http://feeds.soundcloud.com/users/soundcloud:users:151393324/sounds.rss",1473805860,1472853966,"en"
77,"https://itunesu.itunes.apple.com/feed/id1000319186","1000319186","https://itunesu.itunes.apple.com/feed/id1000319186",1433119800,1433118960,"EN"
78,"https://itunesu.itunes.apple.com/feed/id1000320254","1000320254","https://itunesu.itunes.apple.com/feed/id1000320254",1433121180,1433120040,"EN"
79,"https://itunesu.itunes.apple.com/feed/id1000320648","1000320648","https://itunesu.itunes.apple.com/feed/id1000320648",1433122020,1433121300,"EN"
80,"https://itunesu.itunes.apple.com/feed/id1000320852","1000320852","https://itunesu.itunes.apple.com/feed/id1000320852",1433127840,1433125440,"EN"
81,"https://djodawa.com/feed/podcast/","1000322691","https://djodawa.com/feed/podcast/",1541369060,1374771212,"en-US"
82,"https://feeds.soundcloud.com/users/soundcloud:users:155741544/sounds.rss","1000323510","https://feeds.soundcloud.com/users/soundcloud:users:155741544/sounds.rss",1467778357,1467778357,"en"
